Hungate_id|Hungate_id_ori|number_id|kingdom|phylum|class|order|family|genus|species|species_strain|level_covered|Family/Order|Genus/Species|Strain|Culture_collection|Origin|Comments|References|Source
Genome_HUN294|HUN294|40|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides thetaiotaomicron|Bacteroides thetaiotaomicron_KPPR-3|7|Bacteroidaceae|Bacteroides thetaiotaomicron|KPPR-3||Cow rumen/NZ|||
Genome_HUN442|HUN442|41|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides thetaiotaomicron|Bacteroides thetaiotaomicron_NLAE-zl-C579|7|Bacteroidaceae|Bacteroides thetaiotaomicron|NLAE-zl-C579||Cow faeces enrichment/USA||[10]|Dr. T. Atherley
Genome_HUN383|HUN383|42|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides vulgatus|Bacteroides vulgatus_NLAE-zl-G202|7|Bacteroidaceae|Bacteroides vulgatus|NLAE-zl-G202||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN384|HUN384|43|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides xylanisolvens|Bacteroides xylanisolvens_NLAE-zl-G339|7|Bacteroidaceae|Bacteroides xylanisolvens|NLAE-zl-G339||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN441|HUN441|44|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides xylanisolvens|Bacteroides xylanisolvens_NLAE-zl-C202|7|Bacteroidaceae|Bacteroides xylanisolvens|NLAE-zl-C202||Cow faeces enrichment/USA||[10]|Dr. T. Atherley
Genome_HUN415|HUN415|45|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|||Porphyromonadaceae_KH3CP3RA|5|Porphyromonadaceae|Porphyromonadaceae bacterium|KH3CP3RA||Cow rumen/NZ|Proteiniphilum acetatigenes 99%/Ruminobacillus xylanolyticum 99%||
Genome_HUN416|HUN416|46|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|||Porphyromonadaceae_KH3R12|5|Porphyromonadaceae|Porphyromonadaceae bacterium|KH3R12||Cow rumen/NZ|Proteiniphilum acetatigenes 97%||
Genome_HUN436|HUN436|47|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|||Porphyromonadaceae_KHP3R9|5|Porphyromonadaceae|Porphyromonadaceae bacterium|KHP3R9||Cow rumen/NZ|Petrimonas sulfuriphila 97%||
Genome_HUN448|HUN448|48|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|||Porphyromonadaceae_NLAE-zl-C104|5|Porphyromonadaceae|Porphyromonadaceae bacterium|NLAE-zl-C104||Cow faeces enrichment/USA|Proteiniphilum acetatigenes 96%|[10]|Dr. T. Atherley
Genome_HUN167|HUN167|49|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella brevis|Prevotella brevis_P6B11|7|Prevotellaceae|Prevotella brevis|P6B11||Cow rumen/NZ|||
Genome_HUN034|HUN034|50|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella bryantii|Prevotella bryantii_C21a|7|Prevotellaceae|Prevotella bryantii|C21a||Cow rumen/NZ||[11]|
Genome_HUN343|HUN343|51|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella bryantii|Prevotella bryantii_FB3001|7|Prevotellaceae |Prevotella bryantii|FB3001||Cow rumen/NZ||[8]|
Genome_HUN409|HUN409|52|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella bryantii|Prevotella bryantii_KHPX14|7|Prevotellaceae |Prevotella bryantii|KHPX14||Cow rumen/NZ|||
Genome_HUN169|HUN169|53|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola|Prevotella ruminicola_Ga6B6|7|Prevotellaceae|Prevotella ruminicola|Ga6B6||Cow rumen/NZ|||
Genome_HUN377|HUN377|54|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola|Prevotella ruminicola_BPI-34|7|Prevotellaceae |Prevotella ruminicola|BPI-34||Sheep rumen/Japan|||Dr. S. Koike
Genome_HUN380|HUN380|55|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola|Prevotella ruminicola_BPI-162|7|Prevotellaceae |Prevotella ruminicola|BPI-162||Sheep rumen/Japan|||Dr. S. Koike
Genome_HUN203|HUN203|56|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola|Prevotella ruminicola_RM4|7|Prevotellaceae|Prevotella ruminicola|RM4||Cow rumen/Japan||[12]|Dr. M. Mitsumori
Genome_HUN328|HUN328|57|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola|Prevotella ruminicola_KHP1|7|Prevotellaceae |Prevotella ruminicola|KHP1||Cow rumen/NZ|||
Genome_HUN402|HUN402|58|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola|Prevotella ruminicola_KHT3|7|Prevotellaceae |Prevotella ruminicola|KHT3||Cow rumen/NZ|||
Genome_HUN463|HUN463|59|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola|Prevotella ruminicola_D31d|7|Prevotellaceae |Prevotella ruminicola|D31d||Cow rumen/USA||[13]|Dr. M. Cotta
Genome_HUN482|HUN482|60|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola|Prevotella ruminicola_AR32|7|Prevotellaceae |Prevotella ruminicola|AR32||Sheep rumen/Australia||[8]|Dr. R. Gilbert/Dr. A. Klieve
Genome_HUN121|HUN121|61|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_FD3004|6|Prevotellaceae|Prevotella sp.|FD3004||Cow rumen/NZ||[8]|
Genome_HUN126|HUN126|62|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_LC2012|6|Prevotellaceae |Prevotella sp.|LC2012||Cow rumen/NZ||[8]|
Genome_HUN133|HUN133|63|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_MA2016|6|Prevotellaceae|Prevotella sp.|MA2016||Cow rumen/NZ||[8]|
Genome_HUN179|HUN179|64|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_P6B1|6|Prevotellaceae|Prevotella sp.|P6B1||Cow rumen/NZ|||
Genome_HUN180|HUN180|65|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_P6B4|6|Prevotellaceae|Prevotella sp.|P6B4||Cow rumen/NZ|||
Genome_HUN329|HUN329|66|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_KHP7|6|Prevotellaceae |Prevotella sp.|KHP7||Cow rumen/NZ|||
Genome_HUN344|HUN344|67|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_NE3005|6|Prevotellaceae |Prevotella sp.|NE3005||Cow rumen/NZ||[8]|
Genome_HUN368|HUN368|68|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_TC2-28|6|Prevotellaceae |Prevotella sp.|TC2-28||Cow rumen/Sweden||[14]|Dr. H. Flint
Genome_HUN369|HUN369|69|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_TC2-24|6|Prevotellaceae |Prevotella sp.|TC2-24||Cow rumen/Sweden||[14]|Dr. H. Flint
Genome_HUN370|HUN370|70|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_TF2-5|6|Prevotellaceae |Prevotella sp.|TF2-5||Cow rumen/Sweden||[14]|Dr. H. Flint
Genome_HUN375|HUN375|71|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_BPI-145|6|Prevotellaceae |Prevotella sp.|BPI-145||Sheep rumen/Japan|||Dr. S. Koike
Genome_HUN376|HUN376|72|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_BPI-148|6|Prevotellaceae |Prevotella sp.|BPI-148||Sheep rumen/Japan|||Dr. S. Koike
Genome_HUN026|HUN026|73|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_AGR2160|6|Prevotellaceae|Prevotella sp.|AGR2160||Calf faeces/NZ|||
Genome_HUN102|HUN102|74|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_HUN102|6|Prevotellaceae|Prevotella sp.|HUN102||Cow rumen/NZ|||
Genome_HUN330|HUN330|75|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_KH1P2|6|Prevotellaceae |Prevotella sp.|KH1P2||Cow rumen/NZ|||
Genome_HUN411|HUN411|76|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||Prevotella_KH2C16|6|Prevotellaceae |Prevotella sp.|KH2C16||Cow rumen/NZ|||
Genome_HUN156|HUN156|77|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|||Prevotellaceae_HUN156|5|Prevotellaceae |Prevotellaceae bacterium|HUN156||Cow rumen/NZ|Prevotella brevis 91%||
Genome_HUN360|HUN360|78|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|||Prevotellaceae_KH2P17|5|Prevotellaceae |Prevotellaceae bacterium|KH2P17||Cow rumen/NZ|Prevotella dentasini 92%||
Genome_HUN374|HUN374|79|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|||Prevotellaceae_MN60|5|Prevotellaceae |Prevotellaceae bacterium|MN60||Sheep rumen/Japan|Prevotella ruminicola 90%||Dr. S. Koike
Genome_HUN270|HUN270|80|Bacteria|Fibrobacteres|Fibrobacteria|Fibrobacterales|Fibrobacteraceae|Fibrobacter|Fibrobacter succinogenes subsp. elongatus|Fibrobacter succinogenes subsp. elongatus_HM2|7|Fibrobacteraceae|Fibrobacter succinogenes subsp. elongatus|HM2|ATCC 43856|Sheep rumen/USA|Type strain|[15]|
Genome_HUN341|HUN341|81|Bacteria|Firmicutes|Clostridia|Clostridiales||||Clostridiales_WTE2008|4|Clostridiales |Clostridiales bacterium|WTE2008||Cow rumen/NZ|R-7 group. Christensenella minuta 87%|[8]|
Genome_HUN372|HUN372|82|Bacteria|Firmicutes|Clostridia|Clostridiales||||Clostridiales_R-7|4|Clostridiales|Clostridiales bacterium|R-7||Sheep rumen/Japan|R-7 group. Christensenella minuta 86%||Dr. S. Koike
Genome_HUN105|HUN105|83|Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium||Eubacterium_AB3007|6|Clostridiales|Eubacterium sp.|AB3007||Cow rumen/NZ|[Eubacterium] minutum 93%|[8]|
Genome_HUN349|HUN349|84|Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium pyruvativorans|Eubacterium pyruvativorans_i6|7|Clostridiales|Eubacterium pyruvativorans|i6||Sheep rumen/UK|Type strain|[16]|Dr. J. Wallace
Genome_HUN408|HUN408|85|Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium pyruvativorans|Eubacterium pyruvativorans_KHPC4|7|Clostridiales|Eubacterium pyruvativorans|KHPC4||Cow rumen/NZ|||
Genome_HUN412|HUN412|86|Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium pyruvativorans|Eubacterium pyruvativorans_KHGC13|7|Clostridiales|Eubacterium pyruvativorans|KHGC13||Cow rumen/NZ|||
Genome_HUN290|HUN290|87|Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Acidaminococcus|Acidaminococcus fermentans|Acidaminococcus fermentans_pGA-4|7|Acidaminococcaceae|Acidaminococcus fermentans|pGA-4||Cow rumen/NZ|||
Genome_HUN400|HUN400|88|Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Acidaminococcus|Acidaminococcus fermentens|Acidaminococcus fermentens_WCC6|7|Acidaminococcaceae|Acidaminococcus fermentens|WCC6||Cow rumen/NZ|||
Genome_HUN378|HUN378|89|Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Succiniclasticum|Succiniclasticum ruminis|Succiniclasticum ruminis_B14|7|Acidaminococcaceae|Succiniclasticum ruminis|B14|DSM 11005|Cow rumen/Sweden|||DSMZ
Genome_HUN430|HUN430|90|Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Succiniclasticum|Succiniclasticum ruminis|Succiniclasticum ruminis_SE10|7|Acidaminococcaceae|Succiniclasticum ruminis|SE10|DSM 9236|Cow rumen/Sweden|Type strain|[17]|DSMZ
Genome_HUN300|HUN300|91|Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cereus|Bacillus cereus_KPR-7A|7|Bacillaceae|Bacillus cereus|KPR-7A||Cow rumen/NZ|||
Genome_HUN382|HUN382|92|Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus licheniformis|Bacillus licheniformis_VTM3R78|7|Bacillaceae|Bacillus licheniformis|VTM3R78||Moose rumen/USA||[18]|Dr. A. Wright
Genome_HUN135|HUN135|93|Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus||Bacillus_MB2021|6|Bacillaceae|Bacillus sp.|MB2021||Cow rumen/NZ||[8]|
Genome_HUN094|HUN094|94|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium algidicarnis|Clostridium algidicarnis_B3|7|Clostridiaceae|Clostridium algidicarnis|B3||Cow faeces/NZ|||
Genome_HUN142|HUN142|95|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium beijerinckii|Clostridium beijerinckii_HUN142|7|Clostridiaceae|Clostridium beijerinckii |HUN142||Cow rumen/NZ|||
Genome_HUN019|HUN019|96|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium butyricum|Clostridium butyricum_AGR2140|7|Clostridiaceae|Clostridium butyricum|AGR2140||Calf faeces/NZ|||
Genome_HUN020|HUN020|97|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium cadaveris|Clostridium cadaveris_AGR2141|7|Clostridiaceae|Clostridium cadaveris|AGR2141||Calf faeces/NZ|||
Genome_HUN388|HUN388|98|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium cadaveris|Clostridium cadaveris_NLAE-zl-G419|7|Clostridiaceae|Clostridium cadaveris|NLAE-zl-G419||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN379|HUN379|99|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium||Clostridium_B6405|6|Clostridiaceae|Clostridium sp.|B6405|DSM 8431|Bison rumen/USA|Clostridium chartatabidum 99%|[19;20]|DSMZ
Genome_HUN444|HUN444|100|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium cochlearium|Clostridium cochlearium_NLAE-zl-C224|7|Clostridiaceae|Clostridium cochlearium|NLAE-zl-C224||Cow faeces enrichment/USA||[10]|Dr. T. Atherley
Genome_HUN198|HUN198|101|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium lundense|Clostridium lundense_R1|7|Clostridiaceae|Clostridium lundense |R1            |DSM 17049|Cow rumen/Sweden|Type strain|[21]|DSMZ
